  RADIUS    HEIGHT       BASE AREA       CIRCUMFERENCE      CURVED SURFACE AREA        VOLUME
    3.00     20.00           28.28               18.85                   377.04        565.56
    2.50     55.90           19.64               15.71                   878.19       1097.74
  415.06     15.20       541287.43             2608.24                 39645.20    8227568.98
    1.20    100.05            4.52                7.54                   754.46        452.67
    0.08     40.60            0.02                0.50                    20.41          0.82
  134.30    194.60        56670.65              843.94                164230.96   11028108.80
   28.60     25.36         2570.03              179.72                  4557.76      65175.97
  251.00     52.00       197949.14             1577.28                 82018.77   10293355.38
  150.00      2.60        70695.00              942.60                  2450.76     183807.00
   13.51     25.00          573.14               84.87                  2121.79      14328.47
   28.00     74.29         2463.33              175.95                 13071.47     183000.64
   60.26     91.00        11410.58              378.69                 34461.03    1038362.68
   60.26     91.00        11410.58              378.69                 34461.03    1038362.68
